UTC,air_temp,M1,M2,M3,AMB,OBStar,OBPort,FPA,ROIC,boardid,med_counts,sun_alt
60754.05918583334,9.8,9.023,9.882,620.038,10.118,17.63315296789253,18.358138303596,-32.9054139294883,-20.45679472656246,3,18838.0,6.130392106876482
60754.05918583334,9.8,9.023,9.882,620.038,10.118,17.63315296789253,18.358138303596,-37.93199259730176,-34.93092487792973,4,12292.0,6.130392106876482
60754.28459032407,9.1,5.571,5.643,584.701,3.735,13.04710400769452,13.77808989532838,-27.58220474062011,-25.91192839355466,2,14069.0,-53.33936666964284
60754.28459032407,9.1,5.571,5.643,584.701,3.735,13.04710400769452,13.77808989532838,-23.51225950320799,-19.61140937499999,6,12904.0,-53.33936666964284
60754.28459032407,9.1,5.571,5.643,584.701,3.735,13.04710400769452,13.77808989532838,-32.75622622625201,-26.4863806152344,5,18466.0,-53.33936666964284
60754.28459032407,9.1,5.571,5.643,584.701,3.735,13.04710400769452,13.77808989532838,-25.64625436938383,-21.8979434570312,1,14763.0,-53.33936666964284
60754.28459032407,9.1,5.571,5.643,584.701,3.735,13.04710400769452,13.77808989532838,-32.54553131203227,-21.52879521484368,3,16354.0,-53.33936666964284
60754.28459032407,9.1,5.571,5.643,584.701,3.735,13.04710400769452,13.77808989532838,-37.93199259730176,-35.04198325195313,4,11760.0,-53.33936666964284
60754.02777206019,11.6,8.727,9.685,404.952,10.904,18.06660341609546,18.84496869661339,-1158.693271405,-27.1051756835937,2,15691.0,15.48839754262614
60754.02777206019,11.6,8.727,9.685,404.952,10.904,18.06660341609546,18.84496869661339,-23.87214212066408,-19.06536249999999,6,13663.0,15.48839754262614
60754.02777206019,11.6,8.727,9.685,404.952,10.904,18.06660341609546,18.84496869661339,-34.19575669607622,-26.81450422363281,5,19715.0,15.48839754262614
60754.02777206019,11.6,8.727,9.685,404.952,10.904,18.06660341609546,18.84496869661339,-25.64625436938383,-21.0317192382812,1,16127.0,15.48839754262614
60754.02777206019,11.6,8.727,9.685,404.952,10.904,18.06660341609546,18.84496869661339,-32.9054139294883,-20.45679472656246,3,19061.0,15.48839754262614
60754.02777206019,11.6,8.727,9.685,404.952,10.904,18.06660341609546,18.84496869661339,-37.93199259730176,-34.93092487792973,4,12338.0,15.48839754262614
60754.05490130787,10.1,8.924,9.882,581.534,10.216,17.70965486623705,18.44871000834971,-1158.693271405,-26.12888244628903,2,16615.0,7.413876523775697
60754.05490130787,10.1,8.924,9.882,581.534,10.216,17.70965486623705,18.44871000834971,-23.87214212066408,-19.17457187499997,6,13583.0,7.413876523775697
60754.05490130787,10.1,8.924,9.882,581.534,10.216,17.70965486623705,18.44871000834971,-33.11610884370805,-26.5957551513672,5,19701.0,7.413876523775697
60754.05490130787,10.1,8.924,9.882,581.534,10.216,17.70965486623705,18.44871000834971,-25.64625436938383,-21.13999726562497,1,15947.0,7.413876523775697
60754.05490130787,10.1,8.924,9.882,581.534,10.216,17.70965486623705,18.44871000834971,-32.9054139294883,-20.45679472656246,3,19011.0,7.413876523775697
60754.05490130787,10.1,8.924,9.882,581.534,10.216,17.70965486623705,18.44871000834971,-37.93199259730176,-34.93092487792973,4,12302.0,7.413876523775697
60754.09774325231,7.3,8.924,9.586,749.802,7.761,16.4985018301542,17.13729623711032,-1158.693271405,-26.99669865722655,2,15530.0,-5.448247414695942
60754.09774325231,7.3,8.924,9.586,749.802,7.761,16.4985018301542,17.13729623711032,-23.51225950320799,-19.17457187499997,6,13394.0,-5.448247414695942
60754.09774325231,7.3,8.924,9.586,749.802,7.761,16.4985018301542,17.13729623711032,-33.11610884370805,-26.5957551513672,5,19364.0,-5.448247414695942
